participant_id,first_name,last_name,birth_date,address,phone_number,country,institute,occupation,register_time,postal_code,city,github_profile,cleaned_phone_number,team_name,email,birthdate,register_at
bd9b6f88-b84f-4c4d-90f8-b67fe2f1a29a,Citra,Nurdiyanti,5-Feb-91,"Gg. Monginsidi No. 08
Medan, Aceh 80734",(0151) 081 2706,Georgia,UD Prakasa Mandasari,Business Intelligence Engineer,1617634046,80734,Medan,https://github.com/citranurdiyanti,1510812706,CN-Georgia-UPM,citranurdiyanti@upm.com,1991-02-05,2021-04-05 14:47:26
7dfe3391-6f40-47b6-b4db-0c76ebaf5fc3,Aris,Setiawan,11-Jan-93,"Gg. Rajawali Timur No. 7
Prabumulih, MA 09434",+62 (036) 461 7027,Korea Utara,Universitas Diponegoro,Frontend Engineer,1617634018,9434,Prabumulih,https://github.com/arissetiawan,364617027,AS-Korea Utara-UD,arissetiawan@ud.ac.ku,1993-01-11,2021-04-05 14:46:58
19582d7f-b824-4fe5-a517-d5bf573fc768,Cornelia,Handayani,31-Jul-93,"Jalan Kebonjati No. 0
Ambon, SS 57739",089 833 6695,Komoro,UD Hardiansyah Puspasari,Business Analyst,1617634035,57739,Ambon,https://github.com/corneliahandayani,898336695,CH-Komoro-UHP,corneliahandayani@uhp.com,1993-07-31,2021-04-05 14:47:15
aeb6d817-25f3-4867-8a74-8d92e0a0f633,Soleh,Rajasa,4-Nov-91,"Jl. Yos Sudarso No. 109
Lubuklinggau, SR 76156",+62 (418) 329-4756,Eritrea,Perum Tampubolon Yuliarti,DevOps Engineer,1617634034,76156,Lubuklinggau,https://github.com/solehrajasa,4183294756,SR-Eritrea-PTY,solehrajasa@pty.com,1991-11-04,2021-04-05 14:47:14
1fdabdd9-5444-4c97-87b2-fe8833ad0d27,Vivi,Astuti,22-Jan-03,"Jalan Gardujati No. 53
Kediri, Sulawesi Tengah 70074",812511835,Aljazair,PT Hardiansyah Rahimah,Data Analyst,1617634010,70074,Kediri,https://github.com/viviastuti,812511835,VA-Aljazair-PHR,viviastuti@phr.com,2003-01-22,2021-04-05 14:46:50
f1e8749d-6dec-4ede-be25-efb31ce80f99,Bahuraksa,Mangunsong,13-Nov-97,"Jl. Pacuan Kuda No. 58
Denpasar, Aceh 00880",+62 (11) 369-7082,Zambia,CV Mardhiyah Haryanto,Business Analyst,1617633964,880,Denpasar,https://github.com/bahuraksamangunsong,113697082,BM-Zambia-CMH,bahuraksamangunsong@cmh.com,1997-11-13,2021-04-05 14:46:04
707219fa-cb0b-467c-ad32-e99c61603020,Tiara,Maryati,10-Mar-94,"Gg. Cihampelas No. 4
Samarinda, KT 48108",(0244) 430 7220,Libya,UD Irawan Wahyuni,Product Analyst,1617633982,48108,Samarinda,https://github.com/tiaramaryati,2444307220,TM-Libya-UIW,tiaramaryati@uiw.com,1994-03-10,2021-04-05 14:46:22
bc4e9cc3-f49b-40a2-905c-3e9dcf3af958,Dimaz,Gunarto,16-Feb-00,"Gg. Sukabumi No. 7
Parepare, Bali 64255",+62 (056) 931-9059,Republik Demokratik Kongo,Perum Purnawati,Data Scientist,1617633930,64255,Parepare,https://github.com/dimazgunarto,569319059,DG-Republik Demokratik Kongo-PP,dimazgunarto@pp.com,2000-02-16,2021-04-05 14:45:30
7ca0a2e8-bab0-42a3-b6aa-ef4df35c7800,Zizi,Puspasari,11-Apr-02,"Gg. Peta No. 01
Medan, BE 89056",+62 (11) 826-1289,Gambia,Universitas Bhayangkara Surabaya,Data Analyst,1617633950,89056,Medan,https://github.com/zizipuspasari,118261289,ZP-Gambia-UBS,zizipuspasari@ubs.ac.gam,2002-04-11,2021-04-05 14:45:50
7db879a6-eae5-4cf3-87da-c452df8e99c1,Cecep,Haryanto,15-Jan-94,"Jalan Cempaka No. 8
Bitung, Kalimantan Barat 51825",+62 (86) 156 1327,Palau,PD Pudjiastuti Palastri Tbk,Fullstack Engineer,1617634014,51825,Bitung,https://github.com/cecepharyanto,861561327,CH-Palau-PPPT,cecepharyanto@pppt.com,1994-01-15,2021-04-05 14:46:54
ae29b7cb-837c-4f78-957a-f8f7dcd3d6f0,Vanya,Yuliarti,9-Apr-98,"Gang Laswi No. 34
Kediri, Sulawesi Barat 18717",+62 (004) 561 6831,Finlandia,Universitas Janabadra,Flutter Engineer,1617634014,18717,Kediri,https://github.com/vanyayuliarti,45616831,VY-Finlandia-UJ,vanyayuliarti@uj.ac.fin,1998-04-09,2021-04-05 14:46:54
